PGN,ECO,NAME,FEN
1. d4 f5 2. c4 Nf6 3. Nc3 d6 4. Nf3 Nc6,A84,Dutch Defense: Krause Variation,r1bqkb1r/ppp1p1pp/2np1n2/5p2/2PP4/2N2N2/PP2PPPP/R1BQKB1R
1. d4 f5 2. c4 Nf6,A84,Dutch Defense: Normal Variation,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/8/PP2PPPP/RNBQKBNR
1. d4 f5 2. c4 e6 3. Nc3,A84,Dutch Defense: Rubinstein Variation,rnbqkbnr/pppp2pp/4p3/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR
1. d4 f5 2. c4 Nf6 3. Nc3,A85,Dutch Defense: Queen's Knight Variation,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/2N5/PP2PPPP/R1BQKBNR
1. d4 f5 2. c4 Nf6 3. g3,A86,Dutch Defense: Fianchetto Variation,rnbqkb1r/ppppp1pp/5n2/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR
1. d4 f5 2. c4 Nf6 3. g3 d6 4. Bg2 c6 5. Nc3 Qc7,A86,Dutch Defense: Hort-Antoshin System,rnb1kb1r/ppq1p1pp/2pp1n2/5p2/2PP4/2N3P1/PP2PPBP/R1BQK1NR
1. d4 f5 2. c4 Nf6 3. g3 g6,A86,Dutch Defense: Leningrad Variation,rnbqkb1r/ppppp2p/5np1/5p2/2PP4/6P1/PP2PP1P/RNBQKBNR
1. d4 f5 2. c4 Nf6 3. g3 g6 4. Bg2 Bg7 5. Nf3,A87,Dutch Defense: Leningrad Variation,rnbqk2r/ppppp1bp/5np1/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R
1. d4 f5 2. g3 Nf6 3. Bg2 g6 4. Nf3 Bg7 5. O-O O-O 6. c4 d6 7. Nc3 c6,A88,Dutch Defense: Leningrad Variation; Warsaw Variation,rnbq1rk1/pp2p1bp/2pp1np1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1
1. d4 f5 2. g3 Nf6 3. Bg2 g6 4. Nf3 Bg7 5. O-O O-O 6. c4 d6 7. Nc3 Nc6,A89,Dutch Defense: Leningrad Variation; Matulovic Variation,r1bq1rk1/ppp1p1bp/2np1np1/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2,A90,Dutch Defense: Classical Variation,rnbqkb1r/pppp2pp/4pn2/5p2/2PP4/6P1/PP2PPBP/RNBQK1NR
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 d5 5. Nf3,A90,Dutch Defense: Classical Variation,rnbqkb1r/ppp3pp/4pn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQK2R
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Bb4+,A90,Dutch Defense: Nimzo-Dutch Variation,rnbqk2r/pppp2pp/4pn2/5p2/1bPP4/6P1/PP2PPBP/RNBQK1NR
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Bb4+ 5. Bd2 Be7,A90,Dutch Defense: Nimzo-Dutch Variation; Alekhine Variation,rnbqk2r/ppppb1pp/4pn2/5p2/2PP4/6P1/PP1BPPBP/RN1QK1NR
1. d4 f5 2. c4 e6 3. Nf3 Nf6 4. g3 c6 5. Bg2 d5 6. O-O Bd6,A90,Dutch Defense: Stonewall Variation; Modern Variation,rnbqk2r/pp4pp/2pbpn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7,A91,Dutch Defense: Classical Variation,rnbqk2r/ppppb1pp/4pn2/5p2/2PP4/6P1/PP2PPBP/RNBQK1NR
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nh3,A91,Dutch Defense: Classical Variation; Blackburne Attack,rnbqk2r/ppppb1pp/4pn2/5p2/2PP4/6PN/PP2PPBP/RNBQK2R
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O Ne4,A92,Dutch Defense: Alekhine Variation,rnbq1rk1/ppppb1pp/4p3/5p2/2PPn3/5NP1/PP2PPBP/RNBQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O,A92,Dutch Defense: Classical Variation,rnbq1rk1/ppppb1pp/4pn2/5p2/2PP4/5NP1/PP2PPBP/RNBQK2R
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. Nc3,A92,Dutch Defense: Stonewall Variation,rnbq1rk1/ppp1b1pp/4pn2/3p1p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5,A92,Dutch Defense: Stonewall Variation,rnbq1rk1/ppp1b1pp/4pn2/3p1p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. b3,A93,Dutch Defense: Stonewall Variation; Botvinnik Variation,rnbq1rk1/ppp1b1pp/4pn2/3p1p2/2PP4/1P3NP1/P3PPBP/RNBQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. b3 c6 8. Ba3,A94,Dutch Defense: Stonewall Variation,rnbq1rk1/pp2b1pp/2p1pn2/3p1p2/2PP4/BP3NP1/P3PPBP/RN1Q1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. Nc3 c6,A95,Dutch Defense: Stonewall Variation,rnbq1rk1/pp2b1pp/2p1pn2/3p1p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d5 7. Nc3 c6 8. Qc2 Qe8 9. Bg5,A95,Dutch Defense: Stonewall Variation; Chekhover Variation,rnb1qrk1/pp2b1pp/2p1pn2/3p1pB1/2PP4/2N2NP1/PPQ1PPBP/R4RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6,A96,Dutch Defense: Classical Variation,rnbq1rk1/ppp1b1pp/3ppn2/5p2/2PP4/5NP1/PP2PPBP/RNBQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 a5,A96,Dutch Defense: Classical Variation; Buenos Aires Variation,rnbq1rk1/1pp1b1pp/3ppn2/p4p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Ne4,A96,Dutch Defense: Classical Variation; Huisl Variation,rnbq1rk1/ppp1b1pp/3pp3/5p2/2PPn3/2N2NP1/PP2PPBP/R1BQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8,A97,Dutch Defense: Classical Variation; Ilyin-Zhenevsky Variation,rnb1qrk1/ppp1b1pp/3ppn2/5p2/2PP4/2N2NP1/PP2PPBP/R1BQ1RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8 8. Re1,A97,Dutch Defense: Classical Variation; Ilyin-Zhenevsky Variation; Winter Variation,rnb1qrk1/ppp1b1pp/3ppn2/5p2/2PP4/2N2NP1/PP2PPBP/2BQRRK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8 8. Qc2,A98,Dutch Defense: Classical Variation; Ilyin-Zhenevsky Variation; Alatortsev-Lisitsyn Line,rnb1qrk1/ppp1b1pp/3ppn2/5p2/2PP4/2N2NP1/PPQ1PPBP/R1B2RK1
1. d4 f5 2. c4 Nf6 3. g3 e6 4. Bg2 Be7 5. Nf3 O-O 6. O-O d6 7. Nc3 Qe8 8. b3,A99,Dutch Defense: Classical Variation; Ilyin-Zhenevsky Variation; Modern Main Line,rnb1qrk1/ppp1b1pp/3ppn2/5p2/2PP4/1PN2NP1/P3PPBP/R1BQ1RK1
1. e4 f6,B00,Barnes Defense,rnbqkbnr/ppppp1pp/5p2/8/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 g5,B00,Borg Defense,rnbqkbnr/pppppp1p/8/6p1/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 g5 2. d4 Bg7,B00,Borg Defense: Borg Gambit,rnbqk1nr/ppppppbp/8/6p1/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 g5 2. d4 h6 3. h4 g4,B00,Borg Defense: Troon Gambit,rnbqkbnr/pppppp2/7p/8/3PP1pP/8/PPP2PP1/RNBQKBNR
1. e4 g5 2. d4 e5,B00,Borg Defense: Zilbermints Gambit,rnbqkbnr/pppp1p1p/8/4p1p1/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 h6,B00,Carr Defense,rnbqkbnr/ppppppp1/7p/8/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 h6 2. d4 e5,B00,Carr Defense: Zilbermints Gambit,rnbqkbnr/pppp1pp1/7p/4p3/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 f5,B00,Duras Gambit,rnbqkbnr/ppppp1pp/8/5p2/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 f6 2. d4 Kf7,B00,Fried Fox Defense,rnbq1bnr/pppppkpp/5p2/8/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 h5,B00,Goldsmith Defense,rnbqkbnr/ppppppp1/8/7p/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 h5 2. d4 Nf6,B00,Goldsmith Defense: Picklepuss Defense,rnbqkb1r/ppppppp1/5n2/7p/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 b6 2. d4 Ba6,B00,Guatemala Defense,rn1qkbnr/p1pppppp/bp6/8/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 Nh6,B00,Hippopotamus Defense,rnbqkb1r/pppppppp/7n/8/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 Nh6 2. d4 g6 3. c4 f6,B00,Hippopotamus Defense,rnbqkb1r/ppppp2p/5ppn/8/2PPP3/8/PP3PPP/RNBQKBNR
1. e4,B00,King's Pawn Game,rnbqkbnr/pppppppp/8/8/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 Na6,B00,Lemming Defense,r1bqkbnr/pppppppp/n7/8/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 d6 2. d4 Nf6 3. f3,B00,Lion Defense: Lion's Jaw,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5P2/PPP3PP/RNBQKBNR
1. e4 Nc6,B00,Nimzowitsch Defense,r1bqkbnr/pppppppp/2n5/8/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 Nc6 2. d4,B00,Nimzowitsch Defense,r1bqkbnr/pppppppp/2n5/8/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. Nc3 Nf6 3. d4 e5,B00,Nimzowitsch Defense: Breyer Variation,r1bqkb1r/pppp1ppp/2n2n2/4p3/3PP3/2N5/PPP2PPP/R1BQKBNR
1. e4 Nc6 2. Nf3 f5,B00,Nimzowitsch Defense: Colorado Countergambit,r1bqkbnr/ppppp1pp/2n5/5p2/4P3/5N2/PPPP1PPP/RNBQKB1R
1. e4 Nc6 2. Nf3 f5 3. exf5,B00,Nimzowitsch Defense: Colorado Countergambit Accepted,r1bqkbnr/ppppp1pp/2n5/5P2/8/5N2/PPPP1PPP/RNBQKB1R
1. e4 Nc6 2. Nf3,B00,Nimzowitsch Defense: Declined Variation,r1bqkbnr/pppppppp/2n5/8/4P3/5N2/PPPP1PPP/RNBQKB1R
1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4,B00,Nimzowitsch Defense: El Columpio Defense,r1bqkb1r/pppppppp/2n5/4P3/6n1/5N2/PPPP1PPP/RNBQKB1R
1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4 4. d4 d6 5. h3 Nh6 6. e6,B00,Nimzowitsch Defense: El Columpio Defense; El Columpio Gambit,r1bqkb1r/ppp1pppp/2npP2n/8/3P4/5N1P/PPP2PP1/RNBQKB1R
1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4 4. d4 d6 5. h3 Nh6 6. exd6,B00,Nimzowitsch Defense: El Columpio Defense; Exchange Variation,r1bqkb1r/ppp1pppp/2nP3n/8/3P4/5N1P/PPP2PP1/RNBQKB1R
1. e4 Nc6 2. Nf3 Nf6 3. e5 Ng4 4. d4 d6 5. h3 Nh6 6. Bb5,B00,Nimzowitsch Defense: El Columpio Defense; Pin Variation,r1bqkb1r/ppp1pppp/2np3n/1B2P3/3P4/5N1P/PPP2PP1/RNBQK2R
1. e4 Nc6 2. Nf3 e6,B00,Nimzowitsch Defense: Franco-Nimzowitsch Variation,r1bqkbnr/pppp1ppp/2n1p3/8/4P3/5N2/PPPP1PPP/RNBQKB1R
1. e4 Nc6 2. Nc3 e6,B00,Nimzowitsch Defense: French Connection,r1bqkbnr/pppp1ppp/2n1p3/8/4P3/2N5/PPPP1PPP/R1BQKBNR
1. e4 Nc6 2. d4 d5 3. Be3,B00,Nimzowitsch Defense: Hornung Gambit,r1bqkbnr/ppp1pppp/2n5/3p4/3PP3/4B3/PPP2PPP/RN1QKBNR
1. e4 Nc6 2. d4 e5,B00,Nimzowitsch Defense: Kennedy Variation,r1bqkbnr/pppp1ppp/2n5/4p3/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 e5 3. dxe5 Bc5,B00,Nimzowitsch Defense: Kennedy Variation; Bielefelder Gambit,r1bqk1nr/pppp1ppp/2n5/2b1P3/4P3/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 e5 3. dxe5 f6,B00,Nimzowitsch Defense: Kennedy Variation; Hammer Gambit,r1bqkbnr/pppp2pp/2n2p2/4P3/4P3/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 e5 3. dxe5 Qh4,B00,Nimzowitsch Defense: Kennedy Variation; Herford Gambit,r1b1kbnr/pppp1ppp/2n5/4P3/4P2q/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. Nc3,B00,Nimzowitsch Defense: Kennedy Variation; Keres Attack,r1bqkbnr/pppp1ppp/8/4n3/4P3/2N5/PPP2PPP/R1BQKBNR
1. e4 Nc6 2. d4 e5 3. d5,B00,Nimzowitsch Defense: Kennedy Variation; Linksspringer Variation,r1bqkbnr/pppp1ppp/2n5/3Pp3/4P3/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. f4 Ng6,B00,Nimzowitsch Defense: Kennedy Variation; Main Line,r1bqkbnr/pppp1ppp/6n1/8/4PP2/8/PPP3PP/RNBQKBNR
1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. Nf3,B00,Nimzowitsch Defense: Kennedy Variation; Paulsen Attack,r1bqkbnr/pppp1ppp/8/4n3/4P3/5N2/PPP2PPP/RNBQKB1R
1. e4 Nc6 2. d4 e5 3. dxe5 Nxe5 4. f4 Nc6,B00,Nimzowitsch Defense: Kennedy Variation; Riemann Defense,r1bqkbnr/pppp1ppp/2n5/8/4PP2/8/PPP3PP/RNBQKBNR
1. e4 Nc6 2. d4 e5 3. dxe5 d6,B00,Nimzowitsch Defense: Kennedy Variation; de Smet Gambit,r1bqkbnr/ppp2ppp/2np4/4P3/4P3/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 d6,B00,Nimzowitsch Defense: Mikenas Variation,r1bqkbnr/ppp1pppp/2np4/8/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 f6,B00,Nimzowitsch Defense: Neo-Mongoloid Defense,r1bqkbnr/ppppp1pp/2n2p2/8/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. Nc3 g6,B00,Nimzowitsch Defense: Pirc Connection,r1bqkbnr/pppppp1p/2n3p1/8/4P3/2N5/PPPP1PPP/R1BQKBNR
1. e4 Nc6 2. Bb5,B00,Nimzowitsch Defense: Pseudo-Spanish Variation,r1bqkbnr/pppppppp/2n5/1B6/4P3/8/PPPP1PPP/RNBQK1NR
1. e4 Nc6 2. d4 d5,B00,Nimzowitsch Defense: Scandinavian Variation,r1bqkbnr/ppp1pppp/2n5/3p4/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 d5 3. exd5 Nb4,B00,Nimzowitsch Defense: Scandinavian Variation; Aachen Gambit,r1bqkbnr/ppp1pppp/8/3P4/1n1P4/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 d5 3. e5,B00,Nimzowitsch Defense: Scandinavian Variation; Advance Variation,r1bqkbnr/ppp1pppp/2n5/3pP3/3P4/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 d5 3. Nc3,B00,Nimzowitsch Defense: Scandinavian Variation; Bogoljubow Variation,r1bqkbnr/ppp1pppp/2n5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR
1. e4 Nc6 2. d4 d5 3. Nc3 dxe4,B00,Nimzowitsch Defense: Scandinavian Variation; Bogoljubow Variation,r1bqkbnr/ppp1pppp/2n5/8/3Pp3/2N5/PPP2PPP/R1BQKBNR
1. e4 Nc6 2. d4 d5 3. Nc3 a6,B00,Nimzowitsch Defense: Scandinavian Variation; Bogoljubow Variation; Brandics Gambit,r1bqkbnr/1pp1pppp/p1n5/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR
1. e4 Nc6 2. d4 d5 3. Nc3 g6,B00,Nimzowitsch Defense: Scandinavian Variation; Bogoljubow Variation; Erben Gambit,r1bqkbnr/ppp1pp1p/2n3p1/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR
1. e4 Nc6 2. d4 d5 3. Nc3 e5,B00,Nimzowitsch Defense: Scandinavian Variation; Bogoljubow Variation; Heinola-Deppe Gambit,r1bqkbnr/ppp2ppp/2n5/3pp3/3PP3/2N5/PPP2PPP/R1BQKBNR
1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5 Ne5,B00,Nimzowitsch Defense: Scandinavian Variation; Bogoljubow Variation; Nimzowitsch Gambit,r1bqkbnr/ppp1pppp/8/3Pn3/4p3/2N5/PPP2PPP/R1BQKBNR
1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5 Nb8 5. f3,B00,Nimzowitsch Defense: Scandinavian Variation; Bogoljubow Variation; Richter Gambit,rnbqkbnr/ppp1pppp/8/3P4/4p3/2N2P2/PPP3PP/R1BQKBNR
1. e4 Nc6 2. d4 d5 3. Nc3 Nf6,B00,Nimzowitsch Defense: Scandinavian Variation; Bogoljubow Variation; Vehre Variation,r1bqkb1r/ppp1pppp/2n2n2/3p4/3PP3/2N5/PPP2PPP/R1BQKBNR
1. e4 Nc6 2. d4 d5 3. exd5 Qxd5,B00,Nimzowitsch Defense: Scandinavian Variation; Exchange Variation,r1b1kbnr/ppp1pppp/2n5/3q4/3P4/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 d5 3. exd5 Qxd5 4. Nc3,B00,Nimzowitsch Defense: Scandinavian Variation; Exchange Variation; Marshall Gambit,r1b1kbnr/ppp1pppp/2n5/3q4/3P4/2N5/PPP2PPP/R1BQKBNR
1. e4 Nc6 2. b4,B00,Nimzowitsch Defense: Wheeler Gambit,r1bqkbnr/pppppppp/2n5/8/1P2P3/8/P1PP1PPP/RNBQKBNR
1. e4 Nc6 2. Nf3 d6,B00,Nimzowitsch Defense: Williams Variation,r1bqkbnr/ppp1pppp/2np4/8/4P3/5N2/PPPP1PPP/RNBQKB1R
1. e4 Nc6 2. d4 a6,B00,Nimzowitsch Defense: Woodchuck Variation,r1bqkbnr/1ppppppp/p1n5/8/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 b6,B00,Owen Defense,rnbqkbnr/p1pppppp/1p6/8/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 b6 2. d4 c5 3. dxc5 Nc6,B00,Owen Defense: Hekili-Loa Gambit,r1bqkbnr/p2ppppp/1pn5/2P5/4P3/8/PPP2PPP/RNBQKBNR
1. e4 b6 2. d4 Bb7 3. Bd3 f5 4. exf5 Bxg2 5. Qh5+ g6,B00,Owen Defense: Matovinsky Gambit,rn1qkbnr/p1ppp2p/1p4p1/5P1Q/3P4/3B4/PPP2PbP/RNB1K1NR
1. e4 b6 2. d4 Bb7 3. Bg5,B00,Owen Defense: Naselwaus Gambit,rn1qkbnr/pbpppppp/1p6/6B1/3PP3/8/PPP2PPP/RN1QKBNR
1. e4 b6 2. d4 Bb7 3. Nf3,B00,Owen Defense: Smith Gambit,rn1qkbnr/pbpppppp/1p6/8/3PP3/5N2/PPP2PPP/RNBQKB1R
1. e4 f6 2. d4 b6 3. c4 Bb7,B00,Owen Defense: Unicorn Variation,rn1qkbnr/pbppp1pp/1p3p2/8/2PPP3/8/PP3PPP/RNBQKBNR
1. e4 b6 2. d4 Bb7 3. f3 e5,B00,Owen Defense: Wind Gambit,rn1qkbnr/pbpp1ppp/1p6/4p3/3PP3/5P2/PPP3PP/RNBQKBNR
1. e4 d6,B00,Pirc Defense,rnbqkbnr/ppp1pppp/3p4/8/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 d6 2. d4,B00,Pirc Defense,rnbqkbnr/ppp1pppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 d6 2. d4 Nf6,B00,Pirc Defense,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 d6 2. d4 Nf6 3. Nf3,B00,Pirc Defense: Roscher Gambit,rnbqkb1r/ppp1pppp/3p1n2/8/3PP3/5N2/PPP2PPP/RNBQKB1R
1. e4 d6 2. d4 Nd7,B00,Rat Defense: Antal Defense,r1bqkbnr/pppnpppp/3p4/8/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 d6 2. f4 d5 3. exd5 Nf6,B00,Rat Defense: Fuller Gambit,rnbqkb1r/ppp1pppp/5n2/3P4/5P2/8/PPPP2PP/RNBQKBNR
1. e4 d6 2. f4,B00,Rat Defense: Harmonist,rnbqkbnr/ppp1pppp/3p4/8/4PP2/8/PPPP2PP/RNBQKBNR
1. e4 d6 2. h4,B00,Rat Defense: Petruccioli Attack,rnbqkbnr/ppp1pppp/3p4/8/4P2P/8/PPPP1PP1/RNBQKBNR
1. e4 d6 2. g4,B00,Rat Defense: Spike Attack,rnbqkbnr/ppp1pppp/3p4/8/4P1P1/8/PPPP1P1P/RNBQKBNR
1. e4 a6,B00,St. George Defense,rnbqkbnr/1ppppppp/p7/8/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 a6 2. d4 b5 3. Nf3 Bb7 4. Bd3 e6,B00,St. George Defense: Polish Variation,rn1qkbnr/1bpp1ppp/p3p3/1p6/3PP3/3B1N2/PPP2PPP/RNBQK2R
1. e4 a6 2. d4 b5 3. Nf3 Bb7 4. Bd3 d6 5. O-O g6 6. c3 Bg7,B00,St. George Defense: San Jorge Variation,rn1qk1nr/1bp1ppbp/p2p2p1/1p6/3PP3/2PB1N2/PP3PPP/RNBQ1RK1
1. e4 a6 2. d4 e5,B00,St. George Defense: Zilbermints Gambit,rnbqkbnr/1ppp1ppp/p7/4p3/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 Nc6 2. d4 d5 3. Nc3 dxe4 4. d5,B00,Van Geet Opening: Berlin Gambit,r1bqkbnr/ppp1pppp/2n5/3P4/4p3/2N5/PPP2PPP/R1BQKBNR
1. e4 a5,B00,Ware Defense,rnbqkbnr/1ppppppp/8/p7/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 a5 2. d4 Nc6,B00,Ware Defense: Snagglepuss Defense,r1bqkbnr/1ppppppp/2n5/p7/3PP3/8/PPP2PPP/RNBQKBNR
1. e4 d5,B01,Scandinavian Defense,rnbqkbnr/ppp1pppp/8/3p4/4P3/8/PPPP1PPP/RNBQKBNR
1. e4 d5 2. b3,B01,Scandinavian Defense,rnbqkbnr/ppp1pppp/8/3p4/4P3/1P6/P1PP1PPP/RNBQKBNR
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 e5,B01,Scandinavian Defense: Anderssen Counterattack,rnb1kbnr/ppp2ppp/8/q3p3/3P4/2N5/PPP2PPP/R1BQKBNR
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 e5 5. Nf3 Bg4,B01,Scandinavian Defense: Anderssen Counterattack; Collijn Variation,rn2kbnr/ppp2ppp/8/q3p3/3P2b1/2N2N2/PPP2PPP/R1BQKB1R
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 e5 5. Nf3,B01,Scandinavian Defense: Anderssen Counterattack; Goteborg System,rnb1kbnr/ppp2ppp/8/q3p3/3P4/2N2N2/PPP2PPP/R1BQKB1R
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 e5 5. dxe5 Nc6 6. Nf3 Bb4 7. Bd2,B01,Scandinavian Defense: Anderssen Counterattack; Orthodox Attack,r1b1k1nr/ppp2ppp/2n5/q3P3/1b6/2N2N2/PPPB1PPP/R2QKB1R
1. e4 d5 2. exd5 c6 3. dxc6 Nxc6,B01,Scandinavian Defense: Blackburne Gambit,r1bqkbnr/pp2pppp/2n5/8/8/8/PPPP1PPP/RNBQKBNR
1. e4 d5 2. exd5 c6,B01,Scandinavian Defense: Blackburne-Kloosterboer Gambit,rnbqkbnr/pp2pppp/2p5/3P4/8/8/PPPP1PPP/RNBQKBNR
1. e4 d5 2. exd5 e5 3. dxe6 Bxe6,B01,Scandinavian Defense: Boehnke Gambit,rn1qkbnr/ppp2ppp/4b3/4p3/8/8/PPPP1PPP/RNBQKBNR
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6 4. d4 Nf6 5. Nf3 a6,B01,Scandinavian Defense: Bronstein Variation,rnb1kb1r/1pp1pppp/p2q1n2/8/3P4/2N2N2/PPP2PPP/R1BQKB1R
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 Bf5,B01,Scandinavian Defense: Classical Variation,rn2kb1r/ppp1pppp/5n2/q4b2/3P4/2N2N2/PPP2PPP/R1BQKB1R
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qa5 4. d4 Nf6 5. Nf3 Bf5 6. Ne5 c6 7. g4,B01,Scandinavian Defense: Gr?feld Variation,rn2kb1r/pp2pppp/2p2n2/q3Nb2/3P2P1/2N5/PPP2P1P/R1BQKB1R
1. e4 d5 2. exd5 Qxd5 3. Nc3 Qd6,B01,Scandinavian Defense: Gubinsky-Melts Defense,rnb1kbnr/ppp1pppp/3q4/8/8/2N5/PPPP1PPP/R1BQKBNR
1. e4 d5 2. exd5 Nf6 3. c4 e6,B01,Scandinavian Defense: Icelandic-Palme Gambit,rnbqkb1r/ppp2ppp/4pn2/3P4/2P5/8/PP1P1PPP/RNBQKBNR
1. e4 d5 2. exd5 Nf6 3. d4 Nxd5 4. c4 Nb4,B01,Scandinavian Defense: Kiel Variation,rnbqkb1r/ppp1pppp/8/8/1nPP4/8/PP3PPP/RNBQKBNR
