PGN,VOLUME,ECO,NAME,CONTINUATION,CONTINUATIONNAME,,
1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 e6 6.Bc4 a6 7.O-O b5 8.Bb3 Bc5,B,B20,"Morphy Defense Deferred, Smith-Morra Accepted",FALSE,-,,
1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 e6 6.Bc4 a6 7.O-O Qc7 8.Qe2 Bd6,B,B20,"Larsen Defense, Smith-Morra Accepted, Sicilian",FALSE,-,,
1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 e6 6.Bc4 Bb4,B,B20,"Pin Defense, Smith-Morra Accepted, Sicilian",FALSE,-,,
1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 e6 6.Bc4 Bc5,B,B20,"Morphy Defense, Smith-Morra Accepted, Sicilian",FALSE,-,,
1.e4 c5 2.d4 cxd4 3.c3 dxc3 4.Nxc3 Nc6 5.Nf3 e6 6.Bc4 d6 7.O-O a6 8.Qe2 b5,B,B20,"Sozin Formation, Smith-Morra Accepted, Sicilian",FALSE,-,,
1.e4 c5 2.d4 cxd4 3.c3 e5,B,B20,"Center Formation, Smith-Morra Declined, Sicilian",FALSE,-,,
1.e4 c5 2.d4 cxd4 3.c3 Nf6,B,B20,"Alapin Formation, Smith-Morra Declined, Sicilian",FALSE,-,,
1.e4 c5 2.d4 cxd4 3.c3 Qa5,B,B20,"Wing Formation, Smith-Morra Declined, Sicilian",FALSE,-,,
1.e4 c5 2.d4 cxd4 3.f4,B,B20,"Halasz Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.d4 cxd4 3.Nf3,B,B20,"Morphy Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.d4 cxd4 3.Nf3 e5 4.c3,B,B20,"Andreaschek Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.g3,B,B20,"Steinitz; Tartakower, Lasker-Dunne Variation, Sicilian",FALSE,-,,
1.e4 c5 2.h4,B,B20,"Myers Attack, Sicilian",FALSE,-,,
1.e4 c5 2.Ke2,B,B20,King David's Opening,FALSE,-,,
1.e4 c5 2.Ne2,B,B20,"Keres; Billium Attack, Sicilian; Chameleon",FALSE,-,,
1.e4 c5 2.Nh3,B,B20,"Brick Variation, Sicilian",FALSE,-,,
1.e4 c5 2.f4,B,B21,"Larsen-Santasiere (McDonnell Attack) Variation, Sicilian; B21",TRUE,"Larsen-Santasiere (McDonnell Attack) Variation, Sicilian",,
1.e4 c5 2.f4 d5 3.exd5 Nf6,B,B21,"Tal Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.c3,B,B22,"Alapin; Sveshnikov Var, Sicilian; B22",TRUE,"Alapin; Sveshnikov Var, Sicilian",,
1.e4 c5 2.c3 d5 3.exd5 Qxd5,B,B22,"Barmen Defense, Sicilian",FALSE,-,,
1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.d4 e6 5.Nf3 Nc6,B,B22,"Sherzer Variation, Sicilian",FALSE,-,,
1.e4 c5 2.c3 Nf6 3.e5 Nd5 4.Nf3 Nc6 5.Bc4 Nb6 6.Bb3,B,B22,"Stoltz Attack, Sicilian",FALSE,-,,
1.e4 c5 2.Nc3,B,B23,"Closed; Chigorin Variation, Sicilian; B23",TRUE,"Closed; Chigorin Variation, Sicilian",,
1.e4 c5 2.Nc3 d6 3.f4,B,B23,"Grand Prix Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nc3 e6 3.d4 d5,B,B23,"Marshall Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nc3 e6 3.g3 d5,B,B23,"Korchnoi Defense, Sicilian",FALSE,-,,
1.e4 c5 2.Nc3 Nc6,B,B23,Traditional Closed Sicilian,FALSE,-,,
1.e4 c5 2.Nc3 Nc6 3.d3 g6 4.g4,B,B23,"Portland Attack, Sicilian",FALSE,-,,
1.e4 c5 2.Nc3 Nc6 3.f4,B,B23,"Vinken System, Sicilian; Grand Prix Attack",FALSE,-,,
1.e4 c5 2.Nc3 Nc6 3.f4 g6 4.Nf3 Bg7 5.Bc4 e6 6.f5,B,B23,"Schofman Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nc3 Nc6 3.Nge2,B,B23,Chameleon Sicilian,FALSE,-,,
1.e4 c5 2.Nc3 Nc6 3.g3,B,B24,"Fianchetto Variation, Sicilian Closed; B24",TRUE,"Fianchetto Variation, Sicilian Closed",,
1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6,B,B25,B25,TRUE,B25,,
1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.f4 e5,B,B25,"Botvinnik Defense, Sicilian Closed",FALSE,-,,
1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.f4 e5 7.Nh3 Nge7,B,B25,"Edge Variation, Sicilian Closed",FALSE,-,,
1.e4 c5 2.Nc3 Nc6 3.g3 g6 4.Bg2 Bg7 5.d3 d6 6.Be3,B,B26,B26,TRUE,B26,,
1.e4 c5 2.Nf3,B,B27,B27,TRUE,B27,,
1.e4 c5 2.Nf3 b5,B,B27,"Polish Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 b6,B,B27,"Katalimov Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e5,B,B27,"Jalalabad Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 f5,B,B27,"Brussels Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 f5 3.exf5 Nh6,B,B27,"Double-Dutch Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 g6,B,B27,"Hyperaccelerated Dragon, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 g6 3.c4 Bh6,B,B27,"Action Extension, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 g6 3.d4 Bg7,B,B27,"Hyperaccelerated Pterodactyl, Sic",FALSE,-,,
1.e4 c5 2.Nf3 g6 3.d4 f5,B,B27,"Frederico Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 g6 3.d4 f5,B,B27,Sicilian Fred,FALSE,-,,
1.e4 c5 2.Nf3 h6,B,B27,"Buecker Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Qa5,B,B27,"Mongoose Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Qa5,B,B27,"Althouse; Stiletto Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Qc7,B,B27,"Accelerated Paulsen, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Qc7,B,B27,"Quinteros Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6,B,B28,"O'Kelly Variation, Sicilian; B28",TRUE,"O'Kelly Variation, Sicilian",,
1.e4 c5 2.Nf3 a6 3.b3,B,B28,"Kieseritzky System, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.b4,B,B28,"Wing Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.Be2,B,B28,"Aronin System, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.c3,B,B28,"Venice System, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.c3 b5,B,B28,"Ljubojevic Line, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.c3 d5 4.exd5 Nf6,B,B28,"Gambit Line, O'Kelly Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.c3 d6,B,B28,"Steiner Line, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.c3 Nf6,B,B28,"Barcza Line, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.c4,B,B28,"Maroczy Bind, O'Kelly Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.c4 d6,B,B28,"Robatsch Line, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.c4 e6,B,B28,"Paulsen Line, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.c4 Nc6 4.d4 cxd4 5.Nxd4 e5,B,B28,"Geller Line, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.d3,B,B28,"Quiet System, O'Kelly Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.d4,B,B28,"Normal System, O'Kelly Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.d4 cxd4 4.Bc4,B,B28,"Cortlever Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.d4 cxd4 4.c3,B,B28,"Smith-Morra Line, O'Kelly Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.d4 cxd4 4.Nxd4 e5,B,B28,"Taimanov Line, O'Kelly Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.d4 cxd4 4.Nxd4 e6,B,B28,"Kan Line, O'Kelly Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.d4 cxd4 4.Qxd4,B,B28,"Zagorovsky Line, O'Kelly Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.g3,B,B28,"Reti System, O'Kelly Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 a6 3.Nc3,B,B28,"Yerevan System, O'Kelly Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nf6,B,B29,"Nimzovich; Rubinstein Var, Sicilian; B29",TRUE,"Nimzovich; Rubinstein Var, Sicilian",,
1.e4 c5 2.Nf3 Nf6 3.e5,B,B29,"Advance Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6,B,B30,Old Sicilian,FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.Bb5,B,B30,"Rossolimo (Nezmetdinov) Variation, Sicilian; B30",TRUE,"Rossolimo (Nezmetdinov) Variation, Sicilian",,
1.e4 c5 2.Nf3 Nc6 3.Bb5 g6,B,B31,B31,TRUE,B31,,
1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.O-O Bg7 5.c3 e5 6.d4,B,B31,"Gufeld Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.O-O Bg7 5.c3 Nf6 6.d4,B,B31,"Lutikov Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.Bb5 g6 4.O-O Bg7 5.Re1 e5 6.b4,B,B31,"Gurgenidze Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.Bb5 Na5 4.b4,B,B31,"San Francisco Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4,B,B32,B32,TRUE,B32,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 d5,B,B32,"Nimzovich Variation, Sicilian; Nimzo-American Variation",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5,B,B32,"Bourdonnais; Lowenthal Var, Sic",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 e5 5.Nb5 d6,B,B32,"Kalashnikov Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Nf3,B,B32,"Retreat Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Qb6,B,B32,"Godiva Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Qc7,B,B32,"Flohr Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6,B,B33,B33,TRUE,B33,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3,B,B33,"Four Knights Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5,B,B33,"Lasker-Pelikan Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6,B,B33,"Pelikan Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5,B,B33,"Chelyabinsk Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 b5 9.Bxf6 gxf6 10.Nd5 f5,B,B33,"Sveshnikov Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Ndb5 d6 7.Bg5 a6 8.Na3 Be6,B,B33,"Bird Variation, Siclian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6,B,B34,Accelerated Dragon; Fianchetto Var; B34,TRUE,Accelerated Dragon; Fianchetto Var,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.Nc3 Bg7 6.Be3 Nf6 7.Bc4,B,B35,B35,TRUE,B35,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4,B,B36,"Maroczy Bind, Sicilian; B36",TRUE,"Maroczy Bind, Sicilian",,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4 Nf6 6.Nc3 Nxd4 7.Qxd4 d6,B,B36,"Gurgenidze Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4 Bg7,B,B37,B37,TRUE,B37,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4 Bg7 6.Be3,B,B38,B38,TRUE,B38,,
1.e4 c5 2.Nf3 Nc6 3.d4 cxd4 4.Nxd4 g6 5.c4 Bg7 6.Be3 Nf6 7.Nc3 Ng4,B,B39,"Breyer Variation, Sicilian; B39",TRUE,"Breyer Variation, Sicilian",,
1.e4 c5 2.Nf3 e6,B,B40,"French Variation, Sicilian; B40",TRUE,"French Variation, Sicilian",,
1.e4 c5 2.Nf3 e6 3.b4,B,B40,"Wing Gambit Deferred, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.c4,B,B40,"Kramnik Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Qb6,B,B40,"Gaw-Paw Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Qb6,B,B40,"Kveinis Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4,B,B41,B41,TRUE,B41,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4,B,B41,"Accelerated Wimpy Variation, Sic",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6,B,B41,"Paulsen; Kan Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.c4,B,B41,"Reti Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.c4 g6,B,B41,"Hedgehog Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.c4 Nf6 6.Nc3 Bb4 7.Bd3 Nc6,B,B41,"Bronstein Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6,B,B41,"Anderssen; Counterattack Var, Sic",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Bb4,B,B41,Pin Variation; Sicilian CounterAttack,FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Bb4 6.Bd3 e5,B,B41,"Jaffe Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Bb4 6.e5,B,B41,"Koch Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 d5,B,B41,"Marshall Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3,B,B42,B42,TRUE,B42,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3 Bc5,B,B42,"Polugaevsky Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Bd3 g6,B,B42,"Swiss Cheese Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 a6 5.Nc3,B,B43,B43,TRUE,B43,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6,B,B44,"Taimanov; Bastrikov, Paulsen Variation, Sicilian; B44",TRUE,"Taimanov; Bastrikov, Paulsen Variation, Sicilian",,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nb5,B,B44,"Szen Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nb5 d6 6.c4 Nf6 7.N1c3 a6 8.Na3 d5,B,B44,"Gary Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3,B,B45,B45,TRUE,B45,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Nf6 6.Ndb5 Bb4,B,B45,"Paulsen Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Nf6 6.Ndb5 Bb4 7.Nd6+,B,B45,"American Attack, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6,B,B45,"Four Knights Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Ndb5 Bc5,B,B45,"Cobra Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 a6,B,B46,B46,TRUE,B46,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 a6 6.Be2 Nge7,B,B46,"Taimanov Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7,B,B47,"Bastrikov Variation, Sicilian; B47",TRUE,"Bastrikov Variation, Sicilian",,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7 6.Ndb5 Qb8 7.Be3 a6 8.Bb6,B,B47,"Ponomariov Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7 6.Be3,B,B48,B48,TRUE,B48,,
1.e4 c5 2.Nf3 e6 3.d4 cxd4 4.Nxd4 Nc6 5.Nc3 Qc7 6.Be3 a6 7.Be2,B,B49,B49,TRUE,B49,,
1.e4 c5 2.Nf3 d6,B,B50,"Modern Variation, Sicilian; B50",TRUE,"Modern Variation, Sicilian",,
1.e4 c5 2.Nf3 d6 3.Bd3,B,B50,"Kopec System, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.c3,B,B50,"Delayed Alapin, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.c3 Nf6 4.Be2 Nc6 5.d4 cxd4 6.cxd4 Nxe4,B,B50,Basman-Palatnik Gambit,FALSE,-,,
1.e4 c5 2.Nf3 d6 3.g3 b5,B,B50,"Kotov Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.b4,B,B51,"Wing Gambit Deferred, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.Bb5+,B,B51,"Moscow Variation, Sicilian; Canal Attack; B51",TRUE,"Moscow Variation, Sicilian; Canal Attack",,
1.e4 c5 2.Nf3 d6 3.Bb5+ Nc6 4.O-O Bd7 5.c3 a6 6.Bxc6 Bxc6 7.Re1 Nf6 8.d4 Bxe4 9.Bg5,B,B51,"Moscow Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.Bb5+ Nc6 4.O-O Bd7 5.Qe2 g6 6.e5,B,B51,"Dorfman Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.Bb5+ Bd7,B,B52,"Main Line, Canal Attack, Sicilian; B52",TRUE,"Main Line, Canal Attack, Sicilian",,
1.e4 c5 2.Nf3 d6 3.Bb5+ Bd7 4.Bxd7+ Qxd7 5.O-O Nc6 6.c3 Nf6 7.d4,B,B52,"Bronstein (Haag) Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4,B,B53,B53,TRUE,B53,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.c3,B,B53,"Tartakower Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4,B,B53,"Chekhover Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Qxd4 Nc6 5.Bb5 Qd7,B,B53,"Zaitsev Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 Nd7,B,B53,"Lazy Knight Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 Nf6 4.dxc5 Nxe4 5.cxd6,B,B53,"Cortlever Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4,B,B54,B54,TRUE,B54,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6,B,B55,B55,TRUE,B55,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Bc4,B,B55,"Ginsberg Gambit, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.f3,B,B55,"Moscow (Prins) Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.f3 e5 6.Bb5+,B,B55,"Venice Attack, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3,B,B56,B56,TRUE,B56,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Bd7,B,B56,"Kupreichik Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 e5 6.Bb5+,B,B56,"Venice Attack, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6,B,B56,"Classical Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bd3,B,B56,"Yates Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Nde2,B,B56,"Spielmann Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bc4,B,B57,"Sozin; Velimirovic Attack, Sicilian; B57",TRUE,"Sozin; Velimirovic Attack, Sicilian",,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bc4 Qb6,B,B57,"Anti-Sozin Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2,B,B58,B58,TRUE,B58,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 e5,B,B58,"Boleslavsky Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 e5 7.Nxc6,B,B58,"Louma Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.g3,B,B58,"Fianchetto Variation, Richter-Rauzer Sicilizn",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Be2 e5 7.Nb3,B,B59,B59,TRUE,B59,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5,B,B60,"Richter-Rauzer Variation, Sicilian; B60",TRUE,"Richter-Rauzer Variation, Sicilian",,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 g6,B,B60,"Dragon Variation, Richter-Rauzer Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Qd2,B,B61,B61,TRUE,B61,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6,B,B62,B62,TRUE,B62,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Bb5,B,B62,"Margate (Vitolins) Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Nb3,B,B62,"Podebrady Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Nxc6,B,B62,"Exchange Variation, Richter-Rauzer Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2,B,B63,"Rauzer Variation, Sicilian; B63",TRUE,"Rauzer Variation, Sicilian",,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Qb6,B,B63,"Ivanov Variation, Sicilian",FALSE,-,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Be7 8.O-O-O O-O 9.f4,B,B64,B64,TRUE,B64,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 Be7 8.O-O-O O-O 9.f4 Nxd4 10.Qxd4,B,B65,B65,TRUE,B65,,
1.e4 c5 2.Nf3 d6 3.d4 cxd4 4.Nxd4 Nf6 5.Nc3 Nc6 6.Bg5 e6 7.Qd2 a6,B,B66,B66,TRUE,B66,,
